InvoiceID,CustomerID,CreditCard,SupervisorID,Quantity,Price,Freight,OrderDate
10001,GI23,6252-2530-7804-2859,sup08,55,31.48,11.5,2020-09-29
10002,WS20,2783-8366-7416-2168,sup82,48,52.45,15.34,2020-08-28
10003,BU22,5199-1183-9607-0886,sup86,18,85.42,10.93,2020-09-03
10004,KJ24,1418-7024-4284-8398,sup78,92,48.36,23.9,2020-09-05
10005,YR88,0283-1643-1035-1055,sup95,48,99.89,29.99,2020-09-21
10006,RP11,7003-2703-5517-7053,sup21,84,77.1,21.17,2020-09-07
10007,ZL33,7743-4411-8973-3948,sup39,64,80.78,13.09,2020-09-26
10008,TW76,2702-4796-3122-3180,sup27,61,52.68,12.95,2020-09-30
10009,NB38,3893-7684-0566-2497,sup20,14,31.65,17.96,2020-08-22
10010,ES69,5180-0166-9375-5509,sup87,26,72.51,15.66,2020-09-26
10011,HL51,7807-9857-9359-7134,sup65,75,76.36,28.5,2020-09-22
10012,VP81,6206-8083-0612-3937,sup50,86,70.49,21.41,2020-10-09
10013,FU62,6510-2650-4040-7634,sup57,17,89.32,25.02,2020-09-22
10014,MR16,4489-9529-9594-3170,sup11,27,39.96,21.38,2020-09-14
10015,WO69,5495-6605-0511-4452,sup65,33,74.45,11.22,2020-09-14
10016,UY69,2683-0458-6616-9188,sup76,86,36.72,17.8,2020-08-31
10017,EQ62,4936-1420-1159-6684,sup03,25,47.56,11.07,2020-08-14
10018,RT37,5318-9061-9295-3503,sup38,85,65.13,10.89,2020-10-01
10019,MP69,6186-9229-4864-8038,sup24,96,84.44,17.42,2020-10-05
10020,EI44,5115-2100-3146-2202,sup97,89,83.41,17.57,2020-10-03
10021,ZS54,8624-1358-9356-4541,sup07,57,86.72,22.37,2020-09-11
10022,AX06,4821-8992-2084-6079,sup89,10,44.69,25.35,2020-09-02
10023,PK68,1105-9393-5206-8191,sup18,74,99.69,16.42,2020-09-24
10024,TJ52,8369-8500-7058-2188,sup04,93,90.04,18.32,2020-08-19
10025,YY71,3849-9634-1090-4221,sup81,82,76.09,24.37,2020-08-20
10026,KE28,5141-4321-9072-9793,sup18,21,41.04,22.96,2020-08-22
10027,QZ96,9520-6508-2922-7612,sup24,97,22.66,15.98,2020-09-30
10028,SF06,9102-4279-4198-5485,sup98,49,21.36,27.99,2020-09-22
10029,BO96,2774-9852-9654-3449,sup97,61,65.91,16.91,2020-08-29
10030,DL14,1082-1001-2198-4916,sup94,27,26.22,13.97,2020-10-08
10031,WU60,7205-2315-0238-0483,sup85,79,65.73,21.89,2020-08-18
10032,GE26,9873-0249-6278-4789,sup52,81,79.92,13.93,2020-09-08
10033,ON00,0908-1067-4673-8417,sup45,6,65.91,29.28,2020-09-10
10034,GI35,8411-0804-9194-8018,sup09,79,61.68,13.58,2020-09-30
10035,KZ13,5902-3294-2925-6423,sup05,4,59.57,10.12,2020-09-18
10036,WE73,7335-5870-5060-4650,sup06,50,70.55,25.49,2020-09-02
10037,WX65,6947-6068-1461-9081,sup95,96,78.14,18.14,2020-08-31
10038,OY15,4430-2296-5204-4843,sup20,39,65.47,28.49,2020-09-07
10039,TG02,2095-0143-4080-4397,sup34,80,41.02,15.8,2020-09-05
10040,QN63,3368-6827-0414-8133,sup62,74,24.85,26.03,2020-09-30
10041,TV02,8446-2419-0277-9147,sup18,51,84.57,23.63,2020-08-31
10042,JO23,0777-4899-8911-2399,sup11,25,57.52,26.01,2020-08-14
10043,LR28,3682-0150-7417-9676,sup69,71,97.18,10.14,2020-08-30
10044,RO72,9064-6813-3080-4700,sup69,6,41.62,26.71,2020-09-21
10045,VR68,5915-9220-1268-2231,sup31,18,52.68,10.95,2020-08-25
10046,YI89,5948-6667-9545-4513,sup41,83,45.79,19.02,2020-10-03
10047,FQ56,6373-2814-2486-8484,sup40,87,68.21,17.76,2020-10-09
10048,TL11,7161-7405-9264-8580,sup89,64,45.07,29.69,2020-10-04
10049,TI12,9001-8396-0299-0213,sup56,28,40.09,28.16,2020-08-15
10050,NB30,3935-6439-5178-2618,sup39,61,51.91,16.2,2020-09-23
10051,GP74,4685-9450-8304-5524,sup19,54,50.11,19.95,2020-08-20
10052,JR22,9888-8774-6492-8271,sup45,90,78.45,25.77,2020-09-06
10053,VF14,0559-1322-8336-9255,sup09,71,75.9,15.52,2020-10-08
10054,IQ21,2164-4907-5708-4209,sup21,94,25.9,27.83,2020-09-03
10055,YY37,8003-5949-1679-2350,sup54,6,40.09,18.17,2020-09-22
10056,MX97,9044-3614-7163-9005,sup18,98,78.77,26.21,2020-10-01
10057,VT60,8875-8025-5582-8573,sup04,52,62.02,19.33,2020-09-04
10058,CH27,6688-1511-4304-1923,sup16,69,75.44,23.41,2020-08-15
10059,ET99,0241-0054-4082-2884,sup79,69,73.21,18.64,2020-08-24
10060,SB73,8430-9374-1727-1515,sup33,33,23.17,26.12,2020-08-19
10061,UJ99,2697-9104-3159-1105,sup86,16,93.07,12.7,2020-09-30
10062,CN57,8577-7933-0055-8050,sup93,89,80.8,16.46,2020-09-18
10063,LY33,7521-2116-4323-7088,sup72,20,77.34,28.14,2020-09-30
10064,OE66,1796-3156-7580-0991,sup36,72,81.58,13.17,2020-10-05
10065,YW31,8839-6566-1708-7223,sup75,8,24.77,22.37,2020-08-16
10066,XX69,8562-7325-0110-9382,sup46,100,84.43,16.91,2020-08-22
10067,RI65,9351-9177-2613-5457,sup83,67,47.52,13.06,2020-09-18
10068,ID54,2428-8183-2453-4310,sup41,3,64.62,13.1,2020-09-30
10069,YD01,8781-1651-9617-7891,sup46,65,58.0,20.49,2020-10-03
10070,HE70,2272-7934-2872-1612,sup60,94,65.37,21.26,2020-08-22
